COUNTRY,PSRAID,MUSLIM,Q34A
Kenya,100001,Not Muslim,Some confidence
Kenya,100002,Not Muslim,A lot of confidence
Kenya,100003,Not Muslim,Some confidence
Kenya,100004,Not Muslim,Some confidence
Kenya,100005,Not Muslim,Some confidence
Kenya,100006,Muslim,Some confidence
Kenya,100007,Not Muslim,A lot of confidence
Kenya,100008,Not Muslim,A lot of confidence
Kenya,100009,Not Muslim,A lot of confidence
Kenya,100010,Not Muslim,Not too much confidence
Kenya,100011,Not Muslim,Some confidence
Kenya,100012,Not Muslim,A lot of confidence
Kenya,100013,Not Muslim,A lot of confidence
Kenya,100014,Not Muslim,Not too much confidence
Kenya,100015,Not Muslim,A lot of confidence
Kenya,100016,Not Muslim,Some confidence
Kenya,100017,Not Muslim,Some confidence
Kenya,100018,Not Muslim,Some confidence
Kenya,100019,Not Muslim,A lot of confidence
Kenya,100020,Not Muslim,A lot of confidence
Kenya,100021,Not Muslim,No confidence at all
Kenya,100022,Not Muslim,Some confidence
Kenya,100023,Not Muslim,A lot of confidence
Kenya,100024,Not Muslim,A lot of confidence
Kenya,100025,Not Muslim,A lot of confidence
Kenya,100026,Not Muslim,A lot of confidence
Kenya,100027,Not Muslim,A lot of confidence
Kenya,100028,Not Muslim,A lot of confidence
Kenya,100029,Not Muslim,A lot of confidence
Kenya,100030,Not Muslim,A lot of confidence
Kenya,100031,Not Muslim,A lot of confidence
Kenya,100032,Not Muslim,Some confidence
Kenya,100033,Not Muslim,Some confidence
Kenya,100034,Not Muslim,A lot of confidence
Kenya,100035,Not Muslim,A lot of confidence
Kenya,100036,Not Muslim,Not too much confidence
Kenya,100037,Not Muslim,A lot of confidence
Kenya,100038,Not Muslim,A lot of confidence
Kenya,100039,Not Muslim,A lot of confidence
Kenya,100040,Not Muslim,Some confidence
Kenya,100041,Not Muslim,A lot of confidence
Kenya,100042,Not Muslim,A lot of confidence
Kenya,100043,Muslim,Some confidence
Kenya,100044,Muslim,A lot of confidence
Kenya,100045,Muslim,A lot of confidence
Kenya,100046,Muslim,A lot of confidence
Kenya,100047,Muslim,Not too much confidence
Kenya,100048,Muslim,Some confidence
Kenya,100049,Not Muslim,A lot of confidence
Kenya,100050,Not Muslim,A lot of confidence
Kenya,100051,Not Muslim,A lot of confidence
Kenya,100052,Not Muslim,A lot of confidence
Kenya,100053,Not Muslim,Some confidence
Kenya,100054,Not Muslim,A lot of confidence
Kenya,100055,Not Muslim,A lot of confidence
Kenya,100056,Not Muslim,Some confidence
Kenya,100057,Not Muslim,A lot of confidence
Kenya,100058,Not Muslim,Some confidence
Kenya,100059,Not Muslim,A lot of confidence
Kenya,100060,Not Muslim,A lot of confidence
Kenya,100061,Not Muslim,Some confidence
Kenya,100062,Not Muslim,Some confidence
Kenya,100063,Not Muslim,A lot of confidence
Kenya,100064,Not Muslim,Not too much confidence
Kenya,100065,Not Muslim,Some confidence
Kenya,100066,Not Muslim,Some confidence
Kenya,100067,Not Muslim,A lot of confidence
Kenya,100068,Not Muslim,Not too much confidence
Kenya,100069,Not Muslim,Some confidence
Kenya,100070,Not Muslim,A lot of confidence
Kenya,100071,Not Muslim,Some confidence
Kenya,100072,Not Muslim,Some confidence
Kenya,100073,Not Muslim,A lot of confidence
Kenya,100074,Not Muslim,A lot of confidence
Kenya,100075,Not Muslim,A lot of confidence
Kenya,100076,Not Muslim,A lot of confidence
Kenya,100077,Not Muslim,A lot of confidence
Kenya,100078,Not Muslim,A lot of confidence
Kenya,100079,Not Muslim,A lot of confidence
Kenya,100080,Not Muslim,A lot of confidence
Kenya,100081,Not Muslim,A lot of confidence
Kenya,100082,Not Muslim,A lot of confidence
Kenya,100083,Not Muslim,A lot of confidence
Kenya,100084,Not Muslim,A lot of confidence
Kenya,100085,Not Muslim,A lot of confidence
Kenya,100086,Not Muslim,A lot of confidence
Kenya,100087,Not Muslim,A lot of confidence
Kenya,100088,Not Muslim,A lot of confidence
Kenya,100089,Not Muslim,A lot of confidence
Kenya,100090,Not Muslim,A lot of confidence
Kenya,100091,Not Muslim,A lot of confidence
Kenya,100092,Not Muslim,A lot of confidence
Kenya,100093,Not Muslim,A lot of confidence
Kenya,100094,Not Muslim,A lot of confidence
Kenya,100095,Not Muslim,A lot of confidence
Kenya,100096,Not Muslim,A lot of confidence
Kenya,100097,Not Muslim,A lot of confidence
Kenya,100098,Not Muslim,A lot of confidence
Kenya,100099,Not Muslim,A lot of confidence
Kenya,100100,Not Muslim,A lot of confidence
Kenya,100101,Not Muslim,A lot of confidence
Kenya,100102,Not Muslim,Some confidence
Kenya,100103,Not Muslim,A lot of confidence
Kenya,100104,Not Muslim,A lot of confidence
Kenya,100105,Not Muslim,A lot of confidence
Kenya,100106,Not Muslim,A lot of confidence
Kenya,100107,Not Muslim,A lot of confidence
Kenya,100108,Not Muslim,A lot of confidence
Kenya,100109,Not Muslim,A lot of confidence
Kenya,100110,Not Muslim,A lot of confidence
Kenya,100111,Not Muslim,A lot of confidence
Kenya,100112,Not Muslim,A lot of confidence
Kenya,100113,Not Muslim,Don't know
